,date,2t,clim_91-20,ano_91-20,status
0,1940-01-01,11.72,12.48,-0.76,FINAL
1,1940-01-02,11.66,12.47,-0.81,FINAL
2,1940-01-03,11.66,12.47,-0.8,FINAL
3,1940-01-04,11.68,12.46,-0.78,FINAL
4,1940-01-05,11.6,12.45,-0.85,FINAL
5,1940-01-06,11.52,12.45,-0.93,FINAL
6,1940-01-07,11.5,12.44,-0.94,FINAL
7,1940-01-08,11.45,12.44,-0.98,FINAL
8,1940-01-09,11.35,12.43,-1.08,FINAL
9,1940-01-10,11.35,12.43,-1.07,FINAL
10,1940-01-11,11.41,12.42,-1.01,FINAL
11,1940-01-12,11.46,12.42,-0.96,FINAL
12,1940-01-13,11.57,12.42,-0.84,FINAL
13,1940-01-14,11.59,12.42,-0.83,FINAL
14,1940-01-15,11.52,12.42,-0.9,FINAL
15,1940-01-16,11.47,12.42,-0.94,FINAL
16,1940-01-17,11.48,12.42,-0.94,FINAL
17,1940-01-18,11.53,12.42,-0.89,FINAL
18,1940-01-19,11.52,12.42,-0.9,FINAL
19,1940-01-20,11.52,12.42,-0.91,FINAL
20,1940-01-21,11.49,12.43,-0.94,FINAL
21,1940-01-22,11.48,12.43,-0.95,FINAL
22,1940-01-23,11.46,12.44,-0.98,FINAL
23,1940-01-24,11.39,12.44,-1.05,FINAL
24,1940-01-25,11.34,12.45,-1.1,FINAL
25,1940-01-26,11.38,12.46,-1.08,FINAL
26,1940-01-27,11.42,12.46,-1.04,FINAL
27,1940-01-28,11.45,12.47,-1.02,FINAL
28,1940-01-29,11.44,12.48,-1.04,FINAL
29,1940-01-30,11.5,12.49,-0.99,FINAL
30,1940-01-31,11.5,12.5,-1.01,FINAL
31,1940-02-01,11.5,12.51,-1.01,FINAL
32,1940-02-02,11.5,12.53,-1.02,FINAL
33,1940-02-03,11.45,12.54,-1.09,FINAL
34,1940-02-04,11.51,12.55,-1.04,FINAL
35,1940-02-05,11.58,12.56,-0.98,FINAL
36,1940-02-06,11.61,12.58,-0.97,FINAL
37,1940-02-07,11.63,12.59,-0.96,FINAL
38,1940-02-08,11.67,12.61,-0.94,FINAL
39,1940-02-09,11.62,12.62,-1.0,FINAL
40,1940-02-10,11.65,12.64,-0.99,FINAL
41,1940-02-11,11.7,12.65,-0.95,FINAL
42,1940-02-12,11.71,12.67,-0.96,FINAL
43,1940-02-13,11.71,12.69,-0.98,FINAL
44,1940-02-14,11.76,12.7,-0.94,FINAL
45,1940-02-15,11.79,12.72,-0.93,FINAL
46,1940-02-16,11.86,12.74,-0.88,FINAL
47,1940-02-17,11.98,12.76,-0.78,FINAL
48,1940-02-18,12.09,12.78,-0.69,FINAL
49,1940-02-19,12.11,12.8,-0.68,FINAL
50,1940-02-20,12.11,12.81,-0.71,FINAL
51,1940-02-21,12.1,12.83,-0.73,FINAL
52,1940-02-22,12.11,12.85,-0.75,FINAL
53,1940-02-23,12.1,12.87,-0.77,FINAL
54,1940-02-24,12.13,12.89,-0.76,FINAL
55,1940-02-25,12.21,12.92,-0.71,FINAL
56,1940-02-26,12.25,12.94,-0.69,FINAL
57,1940-02-27,12.25,12.96,-0.71,FINAL
58,1940-02-28,12.28,12.98,-0.7,FINAL
59,1940-02-29,12.32,12.99,-0.67,FINAL
60,1940-03-01,12.32,13.0,-0.68,FINAL
61,1940-03-02,12.29,13.03,-0.74,FINAL
62,1940-03-03,12.33,13.05,-0.72,FINAL
63,1940-03-04,12.35,13.07,-0.72,FINAL
64,1940-03-05,12.41,13.1,-0.68,FINAL
65,1940-03-06,12.45,13.12,-0.67,FINAL
66,1940-03-07,12.44,13.15,-0.71,FINAL
67,1940-03-08,12.43,13.17,-0.74,FINAL
68,1940-03-09,12.4,13.2,-0.8,FINAL
69,1940-03-10,12.34,13.23,-0.88,FINAL
70,1940-03-11,12.29,13.25,-0.97,FINAL
71,1940-03-12,12.26,13.28,-1.02,FINAL
72,1940-03-13,12.26,13.31,-1.05,FINAL
